,1,26387360698
1655,823,26388744512
1656,824,26388746168
1655,825,26388747823
1655,826,26388749478
1656,827,26388751134
1655,828,26388752789
1655,829,26388754444
1656,830,26388756100
1655,831,26388757755
1655,832,26388759410
1656,833,26388761066
1655,834,26388762721
1655,835,26388764376
1655,836,26388766031
1655,837,26388767686
1656,838,26388769342
1655,839,26388770997
1655,840,26388772652
1656,841,26388774308
1655,842,26388775963
1655,843,26388777618
1655,844,26388779273
1656,845,26388780929
1655,846,26388782584
1655,847,26388784239
1655,848,26388785894
1656,849,26388787550
1655,850,26388789205
1656,851,26388790861
1655,852,26388792516
1655,853,26388794171
1655,854,26388795826
1656,855,26388797482
1655,856,26388799137
1655,857,26388800792
1655,858,26388802447
1656,859,26388804103
1655,860,26388805758
1655,861,26388807413
1655,862,26388809068
1656,863,26388810724
1669,864,26388812393
1641,865,26388814034
1656,866,26388815690
1655,867,26388817345
1655,868,26388819000
1656,869,26388820656
1655,870,26388822311
1655,871,26388823966
1655,872,26388825621
1656,873,26388827277
1655,874,26388828932
1655,875,26388830587
1655,876,26388832242
1656,877,26388833898
1655,878,26388835553
1655,879,26388837208
1656,880,26388838864
1655,881,26388840519
1656,882,26388842175
1654,883,26388843829
1656,884,26388845485
1655,885,26388847140
1655,886,26388848795
1656,887,26388850451
1655,888,26388852106
1655,889,26388853761
1655,890,26388855416
1656,891,26388857072
1655,892,26388858727
1655,893,26388860382
1655,894,26388862037
1656,895,26388863693
1655,896,26388865348
1655,897,26388867003
1656,898,26388868659
1655,899,26388870314
1655,900,26388871969
1655,901,26388873624
1656,902,26388875280
1655,903,26388876935
1655,904,26388878590
1656,905,26388880246
1655,906,26388881901
1655,907,26388883556
1655,908,26388885211
1656,909,26388886867
1655,910,26388888522
1655,911,26388890177
1656,912,26388891833
1655,913,26388893488
1655,914,26388895143
1655,915,26388896798
1656,916,26388898454
1655,917,26388900109
1655,918,26388901764
1656,919,26388903420
1655,920,26388905075
1655,921,26388906730
1655,922,26388908385
1656,923,26388910041
1655,924,26388911696
1655,925,26388913351
1656,926,26388915007
1655,927,26388916662
1655,928,26388918317
1656,929,26388919973
1655,930,26388921628
1655,931,26388923283
1656,932,26388924939
1655,933,26388926594
1655,934,26388928249
1655,935,26388929904
1655,936,26388931559
1656,937,26388933215
1655,938,26388934870
1655,939,26388936525
1655,940,26388938180
1656,941,26388939836
1655,942,26388941491
1655,943,26388943146
1656,944,26388944802
1655,945,26388946457
1655,946,26388948112
1656,947,26388949768
1655,948,26388951423
1655,949,26388953078
1655,950,26388954733
1656,951,26388956389
1655,952,26388958044
1655,953,26388959699
1655,954,26388961354
1656,955,26388963010
1655,956,26388964665
1655,957,26388966320
1656,958,26388967976
1655,959,26388969631
1655,960,26388971286
1656,961,26388972942
1655,962,26388974597
1655,963,26388976252
1655,964,26388977907
1656,965,26388979563
1655,966,26388981218
3310,967,26388984528
1656,968,26388986184
1655,969,26388987839
1655,970,26388989494
1655,971,26388991149
1656,972,26388992805
1655,973,26388994460
1655,974,26388996115
1656,975,26388997771
1655,976,26388999426
1655,977,26389001081
1656,978,26389002737
1655,979,26389004392
1655,980,26389006047
1655,981,26389007702
1656,982,26389009358
1656,983,26389011014
1655,984,26389012669
1655,985,26389014324
1656,986,26389015980
1655,987,26389017635
1655,988,26389019290
1656,989,26389020946
1654,990,26389022600
1656,991,26389024256
1655,992,26389025911
1655,993,26389027566
1656,994,26389029222
1655,995,26389030877
1658,996,26389032535
1653,997,26389034188
1655,998,26389035843
1655,999,26389037498
1655,1000,26389039153
1656,1001,26389040809
1655,1002,26389042464
1655,1003,26389044119
1655,1004,26389045774
1656,1005,26389047430
1655,1006,26389049085
1655,1007,26389050740
1656,1008,26389052396
1655,1009,26389054051
1655,1010,26389055706
1656,1011,26389057362
1655,1012,26389059017
1656,1013,26389060673
1654,1014,26389062327
1656,1015,26389063983
1655,1016,26389065638
1656,1017,26389067294
1655,1018,26389068949
1655,1019,26389070604
1655,1020,26389072259
1655,1021,26389073914
1656,1022,26389075570
1655,1023,26389077225
1655,1024,26389078880
1656,1025,26389080536
1655,1026,26389082191
3310,1027,26389085501
1656,1028,26389087157
1655,1029,26389088812
1655,1030,26389090467
1655,1031,26389092122
1656,1032,26389093778
1655,1033,26389095433
1655,1034,26389097088
1655,1035,26389098743
1656,1036,26389100399
1655,1037,26389102054
1655,1038,26389103709
1656,1039,26389105365
1655,1040,26389107020
1655,1041,26389108675
1655,1042,26389110330
1656,1043,26389111986
1655,1044,26389113641
1655,1045,26389115296
1656,1046,26389116952
1655,1047,26389118607
1655,1048,26389120262
1655,1049,26389121917
1656,1050,26389123573
1655,1051,26389125228
1655,1052,26389126883
1656,1053,26389128539
1655,1054,26389130194
1655,1055,26389131849
1656,1056,26389133505
1655,1057,26389135160
1655,1058,26389136815
1655,1059,26389138470
1656,1060,26389140126
1655,1061,26389141781
1655,1062,26389143436
1670,1063,26389145106
1641,1064,26389146747
1655,1065,26389148402
1655,1066,26389150057
1655,1067,26389151712
1656,1068,26389153368
1655,1069,26389155023
1655,1070,26389156678
1656,1071,26389158334
1655,1072,26389159989
1656,1073,26389161645
1655,1074,26389163300
1656,1075,26389164956
1654,1076,26389166610
1656,1077,26389168266
1655,1078,26389169921
1655,1079,26389171576
1655,1080,26389173231
1655,1081,26389174886
1656,1082,26389176542
1655,1083,26389178197
1655,1084,26389179852
1656,1085,26389181508
1655,1086,26389183163
1655,1087,26389184818
3311,1088,26389188129
1656,1089,26389189785
1654,1090,26389191439
1656,1091,26389193095
1655,1092,26389194750
1655,1093,26389196405
1655,1094,26389198060
1656,1095,26389199716
1655,1096,26389201371
1655,1097,26389203026
1655,1098,26389204681
1656,1099,26389206337
1655,1100,26389207992
3311,1101,26389211303
1655,1102,26389212958
1655,1103,26389214613
1656,1104,26389216269
1655,1105,26389217924
1655,1106,26389219579
1656,1107,26389221235
1654,1108,26389222889
1656,1109,26389224545
1655,1110,26389226200
1655,1111,26389227855
1656,1112,26389229511
1655,1113,26389231166
1655,1114,26389232821
1655,1115,26389234476
1656,1116,26389236132
1655,1117,26389237787
1655,1118,26389239442
1656,1119,26389241098
1655,1120,26389242753
1655,1121,26389244408
1656,1122,26389246064
1655,1123,26389247719
1655,1124,26389249374
1655,1125,26389251029
1656,1126,26389252685
1655,1127,26389254340
1655,1128,26389255995
1671,1129,26389257666
1640,1130,26389259306
1655,1131,26389260961
1655,1132,26389262616
1656,1133,26389264272
1655,1134,26389265927
1655,1135,26389267582
1656,1136,26389269238
1655,1137,26389270893
1655,1138,26389272548
1656,1139,26389274204
1654,1140,26389275858
1656,1141,26389277514
1655,1142,26389279169
1655,1143,26389280824
1656,1144,26389282480
1655,1145,26389284135
1655,1146,26389285790
1656,1147,26389287446
3310,1148,26389290756
1655,1149,26389292411
1656,1150,26389294067
