Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
7746.000000,0.000000,0.000000,0.000000,0.040000,0.000000,0.114000,0.002000,0.000000
7747.000000,0.000000,0.000000,0.000000,0.040000,0.000000,0.114000,0.002000,0.000000
7748.000000,0.000000,0.000000,0.000000,0.040000,-0.001000,0.114000,0.004000,0.000000
7749.000000,0.000000,0.000000,0.000000,0.040000,-0.001000,0.114000,0.004000,0.000000
7751.000000,0.000000,0.000000,0.000000,0.040000,-0.001000,0.122000,0.004000,0.000000
7752.000000,0.000000,0.000000,0.000000,0.040000,-0.001000,0.122000,0.004000,0.000000
7753.000000,0.000000,0.000000,0.000000,0.040000,-0.001000,0.122000,0.004000,0.000000
7754.000000,0.000000,0.000000,0.000000,0.040000,-0.001000,0.122000,0.004000,0.000000
7756.000000,0.000000,0.000000,0.000000,-0.039000,-0.001000,0.122000,0.004000,0.000000
7757.000000,0.000000,0.000000,0.000000,-0.039000,-0.001000,0.122000,0.004000,0.000000
7758.000000,0.000000,0.000000,0.000000,-0.039000,-0.001000,0.122000,0.004000,0.000000
7759.000000,0.000000,0.000000,0.000000,-0.039000,-0.003000,0.122000,0.004000,0.000000
7761.000000,0.000000,0.000000,0.000000,-0.039000,-0.003000,0.122000,0.006000,0.000000
7762.000000,0.000000,0.000000,0.000000,-0.039000,-0.003000,0.122000,0.006000,0.000000
7763.000000,0.000000,0.000000,0.000000,-0.039000,-0.003000,-0.316000,0.006000,0.000000
7764.000000,0.000000,0.000000,0.000000,-0.039000,-0.003000,-0.316000,0.006000,0.000000
7765.000000,0.000000,0.000000,0.000000,-0.039000,-0.003000,-0.316000,0.006000,0.000000
7767.000000,0.000000,0.000000,0.000000,0.018000,-0.003000,-0.316000,0.006000,0.000000
7768.000000,0.000000,0.000000,0.000000,0.018000,-0.003000,-0.316000,0.006000,0.000000
7769.000000,0.000000,0.000000,0.000000,0.018000,-0.003000,-0.316000,0.006000,0.000000
